央视频道,#genre#
CCTV1综合,http://180.76.145.203:1112/migu720p.php?id=608807420
CCTV2财经,http://180.76.145.203:1112/migu720p.php?id=631780532
CCTV3综艺,http://180.76.145.203:1112/migu720p.php?id=624878271
CCTV4中文国际,http://180.76.145.203:1112/migu720p.php?id=631780421
CCTV5体育,http://180.76.145.203:1112/migu720p.php?id=641886683
CCTV5+体育赛事,http://180.76.145.203:1112/migu720p.php?id=641886773
CCTV6电影,http://180.76.145.203:1112/migu720p.php?id=624878396
CCTV7国防军事,http://180.76.145.203:1112/migu720p.php?id=673168121
CCTV8电视剧,http://180.76.145.203:1112/migu720p.php?id=624878356
CCTV9纪录,http://180.76.145.203:1112/migu720p.php?id=673168140
CCTV10科教,http://180.76.145.203:1112/migu720p.php?id=624878405
CCTV11戏曲,http://180.76.145.203:1112/migu720p.php?id=667987558
CCTV12社会与法,http://180.76.145.203:1112/migu720p.php?id=673168185
CCTV13新闻,http://180.76.145.203:1112/migu720p.php?id=608807423
CCTV14少儿,http://180.76.145.203:1112/migu720p.php?id=624878440
CCTV15音乐,http://180.76.145.203:1112/migu720p.php?id=673168223
CCTV17农业农村,http://180.76.145.203:1112/migu720p.php?id=673168256
CCTV4欧洲,http://180.76.145.203:1112/migu720p.php?id=608807419
CCTV4美洲,http://180.76.145.203:1112/migu720p.php?id=608807416
CGTN外语纪录,http://180.76.145.203:1112/migu720p.php?id=609006487
CGTN阿拉伯语,http://180.76.145.203:1112/migu720p.php?id=609154345
CGTN西班牙语,http://180.76.145.203:1112/migu720p.php?id=609006450
CGTN法语,http://180.76.145.203:1112/migu720p.php?id=609006476
CGTN俄语,http://180.76.145.203:1112/migu720p.php?id=609006446
老故事,http://180.76.145.203:1112/migu720p.php?id=884121956
中学生,http://180.76.145.203:1112/migu720p.php?id=708869532
CGTN,http://180.76.145.203:1112/migu720p.php?id=609017205
CETV1,http://180.76.145.203:1112/migu720p.php?id=923287154
CETV2,http://180.76.145.203:1112/migu720p.php?id=923287211
CETV4,http://180.76.145.203:1112/migu720p.php?id=923287339
熊猫频道01高清,http://180.76.145.203:1112/migu720p.php?id=609158151
熊猫频道1,http://180.76.145.203:1112/migu720p.php?id=608933610
熊猫频道2,http://180.76.145.203:1112/migu720p.php?id=608933640
熊猫频道3,http://180.76.145.203:1112/migu720p.php?id=608934619
熊猫频道4,http://180.76.145.203:1112/migu720p.php?id=608934721
熊猫频道5,http://180.76.145.203:1112/migu720p.php?id=608935104
熊猫频道6,http://180.76.145.203:1112/migu720p.php?id=608935797
熊猫频道7,http://180.76.145.203:1112/migu720p.php?id=609169286
熊猫频道8,http://180.76.145.203:1112/migu720p.php?id=609169287
熊猫频道9,http://180.76.145.203:1112/migu720p.php?id=609169226
熊猫频道10,http://180.76.145.203:1112/migu720p.php?id=609169285
CCTV1综合,http://154.12.36.187:656/index.php?token=7777&id=cctv1
CCTV2财经,http://154.12.36.187:656/index.php?token=7777&id=cctv2
CCTV3综艺,http://154.12.36.187:656/index.php?token=7777&id=cctv3
CCTV4中文国际,http://154.12.36.187:656/index.php?token=7777&id=cctv4
CCTV5体育,http://154.12.36.187:656/index.php?token=7777&id=cctv5
CCTV5+体育赛事,http://154.12.36.187:656/index.php?token=7777&id=cctv5p
CCTV6电影,http://154.12.36.187:656/index.php?token=7777&id=cctv6
CCTV7国防军事,http://154.12.36.187:656/index.php?token=7777&id=cctv7
CCTV8电视剧,http://154.12.36.187:656/index.php?token=7777&id=cctv8
CCTV9纪录,http://154.12.36.187:656/index.php?token=7777&id=cctv9
CCTV10科教,http://154.12.36.187:656/index.php?token=7777&id=cctv10
CCTV11戏曲,http://154.12.36.187:656/index.php?token=7777&id=cctv11
CCTV12社会与法,http://154.12.36.187:656/index.php?token=7777&id=cctv12
CCTV13新闻,http://154.12.36.187:656/index.php?token=7777&id=cctv13
CCTV14少儿,http://154.12.36.187:656/index.php?token=7777&id=cctv14
CCTV15音乐,http://154.12.36.187:656/index.php?token=7777&id=cctv15
CCTV16奥林匹克,http://154.12.36.187:656/index.php?token=7777&id=cctv16
CCTV17农业农村,http://154.12.36.187:656/index.php?token=7777&id=cctv17
CCTV4欧洲,http://154.12.36.187:656/index.php?token=7777&id=cctv4oz
CCTV4美洲,http://154.12.36.187:656/index.php?token=7777&id=cctv4mz
CGTN外语记录,http://154.12.36.187:656/index.php?token=7777&id=cgtnwyjl
CGTN阿拉伯语,http://154.12.36.187:656/index.php?token=7777&id=cgtnalby
CGTN西班牙语,http://154.12.36.187:656/index.php?token=7777&id=cgtnxbyy
CGTN法语,http://154.12.36.187:656/index.php?token=7777&id=cgtnfy
CGTN俄语,http://154.12.36.187:656/index.php?token=7777&id=cgtney
CGTN,http://154.12.36.187:656/index.php?token=7777&id=cgtn
CETV1,http://154.12.36.187:656/index.php?token=7777&id=cetv1
CETV2,http://154.12.36.187:656/index.php?token=7777&id=cetv2
CETV4,http://154.12.36.187:656/index.php?token=7777&id=cetv4
环球旅游,http://154.12.36.187:656/index.php?token=7777&id=hqly
熊猫频道1,http://154.12.36.187:656/index.php?token=7777&id=xm1
熊猫频道2,http://154.12.36.187:656/index.php?token=7777&id=xm2
熊猫频道3,http://154.12.36.187:656/index.php?token=7777&id=xm3
熊猫频道4,http://154.12.36.187:656/index.php?token=7777&id=xm4
熊猫频道5,http://154.12.36.187:656/index.php?token=7777&id=xm5
熊猫频道6,http://154.12.36.187:656/index.php?token=7777&id=xm6
熊猫频道7,http://154.12.36.187:656/index.php?token=7777&id=xm7
熊猫频道8,http://154.12.36.187:656/index.php?token=7777&id=xm8
熊猫频道9,http://154.12.36.187:656/index.php?token=7777&id=xm9
熊猫频道10,http://154.12.36.187:656/index.php?token=7777&id=xm10

卫视频道,#genre#

东方卫视,http://180.76.145.203:1112/migu720p.php?id=651632648
江苏卫视,http://180.76.145.203:1112/migu720p.php?id=623899368
广东卫视,http://180.76.145.203:1112/migu720p.php?id=608831231
江西卫视,http://180.76.145.203:1112/migu720p.php?id=783847495
河南卫视,http://180.76.145.203:1112/migu720p.php?id=790187291
陕西卫视,http://180.76.145.203:1112/migu720p.php?id=738910838
大湾区卫视,http://180.76.145.203:1112/migu720p.php?id=608917627
湖北卫视,http://180.76.145.203:1112/migu720p.php?id=947472496
吉林卫视,http://180.76.145.203:1112/migu720p.php?id=947472500
青海卫视,http://180.76.145.203:1112/migu720p.php?id=947472506
东南卫视,http://180.76.145.203:1112/migu720p.php?id=849116810
海南卫视,http://180.76.145.203:1112/migu720p.php?id=947472502
海峡卫视,http://180.76.145.203:1112/migu720p.php?id=849119120
中国农林卫视,http://180.76.145.203:1112/migu720p.php?id=956904896
兵团卫视,http://180.76.145.203:1112/migu720p.php?id=956923145
辽宁卫视,http://180.76.145.203:1112/migu720p.php?id=630291707
浙江卫视,http://154.12.36.187:656/index.php?token=7777&id=zjws
北京卫视,http://154.12.36.187:656/index.php?token=7777&id=bjws
东方卫视,http://154.12.36.187:656/index.php?token=7777&id=dfws
江苏卫视,http://154.12.36.187:656/index.php?token=7777&id=jsws
山东卫视,http://154.12.36.187:656/index.php?token=7777&id=sdws
广东卫视,http://154.12.36.187:656/index.php?token=7777&id=gdws
江西卫视,http://154.12.36.187:656/index.php?token=7777&id=jxws
河南卫视,http://154.12.36.187:656/index.php?token=7777&id=henws
大湾区卫视,http://154.12.36.187:656/index.php?token=7777&id=dwqws
